,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
60,Victor_China_Open,2018-09-19,China,WD,4,0,26,Japan,Chinesetaipei,Mayu Matsumoto,Wakana Nagahara,8,Hsu Ya Ching,Wu Ti Jung,0,21,14,21,11,0,0,42,25,2,0,5,0,7,3,3,0,1
61,Victor_China_Open,2018-09-18,China,WD,4,0,28,China,China,Cao Tong Wei,Zheng Yu,0,Huang Dong Ping,Li Wen Mei,0,21,15,21,15,0,0,42,30,2,0,3,0,5,4,1,0,1
62,Yonex_All_England_Open,2018-03-15,England,WD,6,0,70,Korea,Korea,Lee So Hee,Shin Seung Chan,7,Chae Yu Jung,Jung Kyung Eun,0,21,18,23,25,21,11,65,54,2,1,4,5,5,7,1,0,1
63,Blibli_Indonesia_Open,2018-07-03,Indonesia,WD,4,0,32,Indonesia,India,Agatha Imanuela,Siti Fadia Silva Ramadhanti,0,Jakkampudi Meghana,S Ram Poorvisha,0,21,11,21,18,0,0,42,29,2,0,3,0,8,4,1,0,1
64,Blibli_Indonesia_Open,2018-07-03,Indonesia,WD,6,0,69,Japan,Thailand,Shiho Tanaka,Koharu Yonemoto,4,Chayanit Chaladchalam,Phataimas Muenwong,0,21,10,22,24,21,15,64,49,2,1,5,3,5,4,3,0,1
65,Blibli_Indonesia_Open,2018-07-05,Indonesia,WD,4,0,36,Japan,Thailand,Mayu Matsumoto,Wakana Nagahara,0,Jongkolphan Kititharakul,Rawinda Prajongjai,8,21,14,21,18,0,0,42,32,2,0,2,0,4,4,10,1,1
66,Yonex_All_England_Open,2018-03-14,England,WD,6,0,62,Indonesia,Korea,Della Destiara Haris,Rizki Amelia Pradipta,0,Chang Ye Na,Kim Hyerin,0,22,20,18,21,21,17,61,58,2,1,2,3,5,6,1,0,1
67,Yonex_All_England_Open,2019-03-06,England,WD,4,0,42,Bulgaria,China,Gabriela Stoeva,Stefani Stoeva,8,Du Yue,Li Yin Hui,0,21,14,21,13,0,0,42,27,2,0,3,0,6,5,2,2,1
68,Yonex_All_England_Open,2018-03-15,England,WD,4,0,29,Japan,Bulgaria,Mayu Matsumoto,Wakana Nagahara,0,Gabriela Stoeva,Stefani Stoeva,0,21,10,21,12,0,0,42,22,2,0,2,0,4,2,8,0,1
69,Blibli_Indonesia_Open,2018-07-04,Indonesia,WD,4,0,16,Thailand,Usa,Jongkolphan Kititharakul,Rawinda Prajongjai,8,Ariel Lee,Sydney Lee,0,21,1,21,5,0,0,42,6,2,0,3,0,16,1,2,0,1
70,Blibli_Indonesia_Open,2018-07-03,Indonesia,WD,4,0,35,China,Netherlands,Huang Dong Ping,Li Wen Mei,0,Selena Piek,Cheryl Seinen,0,21,16,21,15,0,0,42,31,2,0,3,0,4,3,1,0,1
71,Victor_China_Open,2018-09-20,China,WD,6,0,49,China,China,Chen Qing Chen,Jia Yi Fan,3,Tang Jin Hua,Yu Xiao Han,0,21,14,15,21,21,18,57,53,2,1,2,1,4,4,2,0,1
72,Blibli_Indonesia_Open,2018-07-03,Indonesia,WD,4,0,38,Indonesia,Indonesia,Anggia Shitta Awanda,Ni Ketut Mahadewi Istarani,0,Pia Zebadiah Bernadet,Tiara Rosalia Nuraidah,0,21,18,21,17,0,0,42,35,2,0,2,0,5,4,1,0,1
73,Blibli_Indonesia_Open,2018-07-04,Indonesia,WD,4,0,28,China,Korea,Du Yue,Li Yin Hui,0,Kim Hyerin,Kong Hee Yong,0,21,14,21,2,0,0,42,16,2,0,2,0,18,3,1,1,1
74,Yonex_All_England_Open,2019-03-07,England,WD,4,0,53,Japan,Korea,Mayu Matsumoto,Wakana Nagahara,3,Kim So Yeong,Kong Hee Yong,0,24,22,21,14,0,0,45,36,2,0,5,2,4,4,5,8,1
