,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
1723,Petronas_Malaysia_Open,2023-01-10,Malaysia,MD,6,0,58,Indonesia,France,"Fajar Alfian, Muhammad Rian Ardianto",3.0,"Christo Popov, Toma Junior Popov",,19,21,21.0,16.0,21.0,15.0,61,52,2,1,3,2,5,6,2,0,1
1724,Yonex_All_England_Open,2020-03-11,England,MS,4,0,43,Denmark,Indonesia,Rasmus Gemke,,Anthony Sinisuka Ginting,4.0,21,14,21.0,18.0,,,42,32,2,0,0,0,0,0,1,1,1
1725,Petronas_Malaysia_Open,2023-01-12,Malaysia,XD,4,0,46,Japan,Japan,"Yuta Watanabe, Arisa Higashino",3.0,"Yuki Kaneko, Misaki Matsutomo",,21,17,21.0,13.0,,,42,30,2,0,3,0,5,5,5,1,1
1726,Petronas_Malaysia_Open,2023-01-14,Malaysia,WS,6,0,71,Korea,China,An Se Young,2.0,Chen Yu Fei,4.0,21,12,19.0,21.0,21.0,9.0,61,42,2,1,3,1,9,3,7,13,1
1727,Petronas_Malaysia_Open,2023-01-15,Malaysia,XD,4,0,44,China,Japan,"Zheng Si Wei, Huang Ya Qiong",1.0,"Yuta Watanabe, Arisa Higashino",3.0,21,19,21.0,11.0,,,42,30,2,0,2,0,5,4,15,5,1
1728,Petronas_Malaysia_Open,2023-01-13,Malaysia,WD,4,0,49,China,China,"Zhang Shu Xian, Zheng Yu",,"Li Wen Mei, Liu Xuan Xuan",,21,19,21.0,19.0,,,42,38,2,0,4,0,7,5,2,1,1
1729,Yonex_All_England_Open,2022-03-16,England,WD,4,0,22,Thailand,India,"Supissara Paewsampran, Puttita Supajirakul",,"Jakkampudi Meghana, S Ram Poorvisha",,21,5,21.0,3.0,,,42,8,2,0,3,0,10,2,1,0,1
1730,Petronas_Malaysia_Open,2023-01-11,Malaysia,MD,4,0,35,Indonesia,Japan,"Leo Rolly Carnando, Daniel Marthin",,"Akira Koga, Taichi Saito",,21,14,21.0,18.0,,,42,32,2,0,5,0,4,3,1,1,1
1731,Petronas_Malaysia_Open,2023-01-14,Malaysia,WD,4,0,72,Korea,China,"Baek Ha Na, Lee Yu Lim",,"Zhang Shu Xian, Zheng Yu",,21,17,23.0,21.0,,,44,38,2,0,4,1,5,6,1,1,1
1732,East_Ventures_Indonesia_Open,2022-06-16,Indonesia,WS,6,0,63,Denmark,Thailand,Line Højmark Kjaersfeldt,,Ratchanok Intanon,8.0,15,21,21.0,16.0,22.0,20.0,58,57,2,1,3,2,6,4,1,3,1
1733,Petronas_Malaysia_Open,2023-01-15,Malaysia,WD,4,0,52,China,Korea,"Chen Qing Chen, Jia Yi Fan",1.0,"Baek Ha Na, Lee Yu Lim",,21,16,21.0,10.0,,,42,26,2,0,2,0,6,3,2,1,1
1734,Petronas_Malaysia_Open,2023-01-10,Malaysia,WD,4,0,26,China,Netherlands,"Chen Qing Chen, Jia Yi Fan",1.0,"Debora Jille, Cheryl Seinen",,21,11,21.0,14.0,,,42,25,2,0,6,0,6,3,1,0,1
1735,Yonex_All_England_Open,2023-03-14,England,MD,6,0,54,Indonesia,Korea,"Muhammad Shohibul Fikri, Bagas Maulana",,"Kim Gi Jung, Kim Sa Rang",,21,15,13.0,21.0,21.0,16.0,55,52,2,1,2,3,5,6,1,1,1
1736,Petronas_Malaysia_Open,2023-01-13,Malaysia,WS,4,0,25,Chinesetaipei,Chinesetaipei,Tai Tzu Ying,3.0,Wen Chi Hsu,,21,6,21.0,8.0,,,42,14,2,0,2,0,7,3,3,1,1
1737,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,4,0,37,China,Chinesetaipei,Wang Zhi Yi,8.0,Pai Yu Po,,21,13,21.0,10.0,,,42,23,2,0,2,0,7,3,5,0,1
1738,Petronas_Malaysia_Open,2023-01-14,Malaysia,MS,6,0,113,Japan,Thailand,Kodai Naraoka,,Kunlavut Vitidsarn,8.0,21,17,19.0,21.0,21.0,17.0,61,55,2,1,2,3,5,5,5,6,1
1739,Petronas_Malaysia_Open,2023-01-15,Malaysia,WS,6,0,69,Japan,Korea,Akane Yamaguchi,1.0,An Se Young,2.0,12,21,21.0,19.0,21.0,11.0,54,51,2,1,3,1,6,6,13,11,1
1740,Yonex_All_England_Open,2020-03-11,England,MS,4,0,40,Denmark,Thailand,Viktor Axelsen,2.0,Sitthikom Thammasin,,21,15,21.0,13.0,,,42,28,2,0,0,0,0,0,5,0,1
1741,Petronas_Malaysia_Open,2023-01-11,Malaysia,XD,4,0,25,Chinesetaipei,Chinesetaipei,"Ye Hong Wei, Lee Chia Hsin",,"Lee Jhe-Huei, Hsu Ya Ching",,21,19,23.0,21.0,,,44,40,2,0,2,3,6,4,1,0,1
1742,Yonex_All_England_Open,2023-03-14,England,WD,4,0,35,England,Usa,"Chloe Birch, Lauren Smith",,"Srivedya Gurazada, Ishika Jaiswal",,21,9,21.0,18.0,,,42,27,2,0,2,0,6,5,1,0,1
1743,Petronas_Malaysia_Open,2023-01-10,Malaysia,WD,4,0,32,Indonesia,France,"Febriana Dwipuji Kusuma, Amallia Cahaya Pratiwi",,"Margot Lambert, Anne Tran",,21,16,21.0,15.0,,,42,31,2,0,2,0,5,5,3,1,1
1744,Yonex_All_England_Open,2023-03-15,England,MS,4,0,33,Malaysia,Thailand,Lee Zii Jia,4.0,Sitthikom Thammasin,,21,12,21.0,15.0,,,42,27,2,0,4,0,6,5,6,0,1
1745,Yonex_All_England_Open,2023-03-16,England,WD,4,0,51,Indonesia,Thailand,"Apriyani Rahayu, Siti Fadia Silva Ramadhanti",8.0,"Supissara Paewsampran, Puttita Supajirakul",,21,16,21.0,19.0,,,42,35,2,0,6,0,5,4,5,0,1
