,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
107,Blibli_Indonesia_Open,2019-07-20,Indonesia,XD,4,0,43,China,Malaysia,Wang Yi Lyu,Huang Dong Ping,2,Chan Peng Soon,Goh Liu Ying,5,21,13,22,20,0,0,43,33,2,0,3,0,4,4,9,2,1
108,Blibli_Indonesia_Open,2019-07-17,Indonesia,XD,6,0,49,Malaysia,Indonesia,Chan Peng Soon,Goh Liu Ying,5,Ronald Ronald,Annisa Saufika,0,16,21,21,7,21,11,58,39,2,1,3,1,9,6,1,0,1
109,Blibli_Indonesia_Open,2019-07-19,Indonesia,XD,6,0,63,Malaysia,England,Tan Kian Meng,Lai Pei Jing,0,Chris Adcock,Gabrielle Adcock,0,21,15,14,21,21,15,56,51,2,1,3,2,6,6,1,3,1
110,Yonex_All_England_Open,2018-03-14,England,XD,6,0,48,Thailand,Hongkong,Dechapol Puavaranukroh,Sapsiree Taerattanachai,0,Lee Chun Hei Reginald,Chau Hoi Wah,0,21,16,7,21,21,18,49,55,2,1,7,2,7,9,4,0,1
111,Yonex_All_England_Open,2019-03-07,England,XD,4,0,24,China,Japan,Zheng Si Wei,Huang Ya Qiong,1,Kohei Gondo,Ayane Kurihara,0,21,10,21,10,0,0,42,20,2,0,4,0,8,3,1,0,1
112,Blibli_Indonesia_Open,2019-07-16,Indonesia,XD,4,0,43,Malaysia,China,Tan Kian Meng,Lai Pei Jing,0,Lu Kai,Chen Lu,0,23,21,21,13,0,0,44,34,2,0,3,5,8,5,1,1,1
113,Blibli_Indonesia_Open,2019-07-20,Indonesia,XD,4,0,35,China,Malaysia,Zheng Si Wei,Huang Ya Qiong,1,Tan Kian Meng,Lai Pei Jing,0,21,12,21,16,0,0,42,28,2,0,7,0,6,4,9,0,1
114,Victor_China_Open,2019-09-17,China,XD,4,0,26,China,Japan,Zheng Si Wei,Huang Ya Qiong,1,Takuro Hoki,Wakana Nagahara,0,21,12,21,12,0,0,42,24,2,0,3,0,6,3,3,0,1
115,Blibli_Indonesia_Open,2019-07-19,Indonesia,XD,4,0,32,China,Malaysia,Wang Yi Lyu,Huang Dong Ping,2,Goh Soon Huat,Lai Shevon Jemie,0,21,4,21,15,0,0,42,19,2,0,3,0,11,2,3,3,1
116,Yonex_All_England_Open,2019-03-08,England,XD,6,0,59,Indonesia,Thailand,Praveen Jordan,Melati Daeva Oktavianti,0,Dechapol Puavaranukroh,Sapsiree Taerattanachai,4,16,21,21,12,21,17,58,50,2,1,3,3,5,4,4,8,1
