,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Team 1 Name,Player 2 Team 1 Name,Team 1 Seed,Player 1 Team 2 Name,Player 2 Team 2 Name,Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Match Winner
342,Petronas_Malaysia_Open,2023-01-13,Malaysia,MD,6,0,68,Indonesia,Malaysia,Fajar Alfian,Muhammad Rian Ardianto,3,Ong Yew Sin,Teo Ee Yi,8,14,21,21,16,21,17,56,54,2,1,5,1,4,4,7,3,1
343,East_Ventures_Indonesia_Open,2022-06-14,Indonesia,MD,4,0,26,Japan,India,Takuro Hoki,Yugo Kobayashi,3,Attri Manu,Reddy B. Sumeeth,0,21,8,21,11,0,0,42,19,2,0,3,0,4,2,3,0,1
344,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,6,0,56,China,Indonesia,Liang Wei Keng,Wang Chang,0,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,2,20,22,21,12,21,19,62,53,2,1,5,1,5,5,4,0,1
345,Yonex_All_England_Open,2020-03-11,England,MD,4,0,33,China,Korea,Ou Xuan Yi,Zhang Nan,0,Ko Sung Hyun,Shin Baek Cheol,0,21,19,21,17,0,0,42,36,2,0,0,0,0,0,1,0,1
346,East_Ventures_Indonesia_Open,2022-06-14,Indonesia,MD,4,0,36,Malaysia,Denmark,Ong Yew Sin,Teo Ee Yi,0,Jeppe Bay,Lasse Mølhede,0,21,14,21,14,0,0,42,28,2,0,2,0,6,4,1,0,1
347,Petronas_Malaysia_Open,2023-01-10,Malaysia,MD,4,0,32,Germany,Netherlands,Mark Lamsfuss,Marvin Seidel,0,Ruben Jille,Ties Van Der Lecq,0,21,19,21,7,0,0,42,26,2,0,4,0,5,4,3,1,1
348,East_Ventures_Indonesia_Open,2022-06-16,Indonesia,MD,4,0,38,Korea,Japan,Choi Sol Gyu,Kim Won Ho,0,Akira Koga,Taichi Saito,0,21,12,21,18,0,0,42,30,2,0,5,0,7,3,2,0,1
349,Petronas_Malaysia_Open,2023-01-10,Malaysia,MD,6,0,58,Indonesia,France,Fajar Alfian,Muhammad Rian Ardianto,3,Christo Popov,Toma Junior Popov,0,19,21,21,16,21,15,61,52,2,1,3,2,5,6,2,0,1
350,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,6,0,70,Indonesia,Germany,Fajar Alfian,Muhammad Rian Ardianto,3,Mark Lamsfuss,Marvin Seidel,0,8,21,21,19,21,16,50,56,2,1,3,1,8,5,4,1,1
351,Petronas_Malaysia_Open,2023-01-15,Malaysia,MD,6,0,68,Indonesia,China,Fajar Alfian,Muhammad Rian Ardianto,3,Liang Wei Keng,Wang Chang,0,21,18,18,21,21,13,60,52,2,1,7,2,6,4,3,6,1
352,Yonex_All_England_Open,2023-03-14,England,MD,6,0,54,Indonesia,Korea,Muhammad Shohibul Fikri,Bagas Maulana,0,Kim Gi Jung,Kim Sa Rang,0,21,15,13,21,21,16,55,52,2,1,2,3,5,6,1,1,1
353,Petronas_Malaysia_Open,2023-01-13,Malaysia,MD,6,0,66,India,China,Satwiksairaj Rankireddy,Chirag Shetty,7,Liu Yu Chen,Ou Xuan Yi,0,17,21,22,20,21,9,60,50,2,1,4,3,6,6,1,1,1
354,Yonex_All_England_Open,2023-03-15,England,MD,6,0,66,Indonesia,Korea,Fajar Alfian,Muhammad Rian Ardianto,1,Kang Min Hyuk,Seo Seung Jae,0,20,22,21,12,21,19,62,53,2,1,4,2,6,6,3,6,1
355,Petronas_Malaysia_Open,2023-01-14,Malaysia,MD,6,0,64,China,India,Liang Wei Keng,Wang Chang,0,Satwiksairaj Rankireddy,Chirag Shetty,7,21,16,11,21,21,15,53,52,2,1,2,4,5,7,5,2,1
356,Petronas_Malaysia_Open,2023-01-11,Malaysia,MD,4,0,35,Indonesia,Japan,Leo Rolly Carnando,Daniel Marthin,0,Akira Koga,Taichi Saito,0,21,14,21,18,0,0,42,32,2,0,5,0,4,3,1,1,1
357,Yonex_All_England_Open,2023-03-16,England,MD,4,0,44,Indonesia,Malaysia,Muhammad Shohibul Fikri,Bagas Maulana,0,Ong Yew Sin,Teo Ee Yi,8,21,18,21,18,0,0,42,36,2,0,3,0,6,5,2,1,1
358,Yonex_All_England_Open,2022-03-16,England,MD,4,0,38,Indonesia,Indonesia,Muhammad Shohibul Fikri,Bagas Maulana,0,Pramudya Kusumawardana,Yeremia Erich Yoche Yacob Rambitan,0,21,18,21,19,0,0,42,37,2,0,2,0,4,4,3,2,1
359,Petronas_Malaysia_Open,2023-01-14,Malaysia,MD,4,0,42,Indonesia,Korea,Fajar Alfian,Muhammad Rian Ardianto,3,Kang Min Hyuk,Seo Seung Jae,0,21,18,21,17,0,0,42,35,2,0,5,0,4,2,3,6,1
360,Yonex_All_England_Open,2023-03-15,England,MD,6,0,60,Indonesia,Malaysia,Leo Rolly Carnando,Daniel Marthin,0,Aaron Chia,Soh Wooi Yik,2,21,18,14,21,21,13,56,52,2,1,2,3,7,5,3,5,1
361,Yonex_All_England_Open,2022-03-16,England,MD,4,0,39,Japan,France,Akira Koga,Taichi Saito,0,Christo Popov,Toma Junior Popov,0,21,8,21,14,0,0,42,22,2,0,2,0,6,5,1,0,1
362,Yonex_All_England_Open,2023-03-14,England,MD,6,0,57,Malaysia,Chinesetaipei,Ong Yew Sin,Teo Ee Yi,8,Lee Yang,Wang Chi-Lin,0,12,21,21,16,21,18,54,55,2,1,3,3,5,5,3,6,1
363,Yonex_All_England_Open,2023-03-17,England,MD,6,0,60,China,Indonesia,Liang Wei Keng,Wang Chang,0,Leo Rolly Carnando,Daniel Marthin,0,13,21,21,19,21,18,55,58,2,1,4,1,5,6,2,1,1
364,Petronas_Malaysia_Open,2023-01-10,Malaysia,MD,4,0,34,Korea,India,Kang Min Hyuk,Seo Seung Jae,0,Krishna Prasad Garaga,Vishnuvardhan Goud Panjala,0,21,10,21,18,0,0,42,28,2,0,4,0,5,2,1,0,1
365,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,4,0,49,India,Indonesia,Satwiksairaj Rankireddy,Chirag Shetty,7,Muhammad Shohibul Fikri,Bagas Maulana,0,21,19,22,20,0,0,43,39,2,0,6,0,5,4,4,4,1
366,Yonex_All_England_Open,2023-03-16,England,MD,6,0,58,China,India,Liang Wei Keng,Wang Chang,0,Satwiksairaj Rankireddy,Chirag Shetty,6,10,21,21,17,21,19,52,57,2,1,5,1,4,4,5,2,1
367,Yonex_All_England_Open,2023-03-18,England,MD,6,0,68,Indonesia,China,Mohammad Ahsan,Hendra Setiawan,3,Liang Wei Keng,Wang Chang,0,21,15,19,21,29,27,69,63,2,1,7,6,4,6,2,4,1
368,Yonex_All_England_Open,2023-03-17,England,MD,6,0,57,Indonesia,China,Mohammad Ahsan,Hendra Setiawan,3,Liu Yu Chen,Ou Xuan Yi,5,16,21,21,19,21,19,58,59,2,1,2,1,5,5,1,4,1
369,Petronas_Malaysia_Open,2023-01-10,Malaysia,MD,4,0,29,Chinesetaipei,Scotland,Lu Ching Yao,Yang Po Han,0,Alexander Dunn,Adam Hall,0,21,14,21,11,0,0,42,25,2,0,2,0,6,3,3,1,1
370,Yonex_All_England_Open,2023-03-14,England,MD,6,0,61,Denmark,Germany,Kim Astrup,Anders Skaarup Rasmussen,7,Mark Lamsfuss,Marvin Seidel,0,18,21,21,14,21,17,60,52,2,1,6,1,6,10,12,4,1
371,Yonex_All_England_Open,2023-03-18,England,MD,4,0,45,Indonesia,China,Fajar Alfian,Muhammad Rian Ardianto,1,He Ji Ting,Zhou Hao Dong,0,21,19,21,17,0,0,42,36,2,0,6,0,4,4,4,1,1
372,Yonex_All_England_Open,2020-03-11,England,MD,6,0,66,Japan,Korea,Takuro Hoki,Yugo Kobayashi,0,Choi Sol Gyu,Seo Seung Jae,0,24,22,19,21,21,19,64,62,2,1,0,0,0,0,2,2,1
373,Yonex_All_England_Open,2022-03-16,England,MD,4,0,48,Indonesia,France,Marcus Fernaldi Gideon,Kevin Sanjaya Sukamuljo,1,Lucas Corvee,Ronan Labar,0,21,12,21,18,0,0,42,30,2,0,3,0,6,4,2,0,1
374,Petronas_Malaysia_Open,2023-01-11,Malaysia,MD,6,0,56,Indonesia,Thailand,Muhammad Shohibul Fikri,Bagas Maulana,0,Supak Jomkoh,Kittinupong Kedren,0,16,21,21,16,21,19,58,56,2,1,6,3,9,8,4,1,1
375,Yonex_All_England_Open,2023-03-15,England,MD,6,0,68,China,England,Liu Yu Chen,Ou Xuan Yi,5,Ben Lane,Sean Vendy,0,21,18,17,21,21,16,59,55,2,1,4,1,6,5,4,0,1
376,Yonex_All_England_Open,2023-03-19,England,MD,4,0,34,Indonesia,Indonesia,Fajar Alfian,Muhammad Rian Ardianto,1,Mohammad Ahsan,Hendra Setiawan,3,21,17,21,14,0,0,42,31,2,0,3,0,4,4,4,3,1
377,Yonex_All_England_Open,2023-03-14,England,MD,6,0,60,Chinesetaipei,France,Lee Jhe-Huei,Yang Po-Hsuan,0,Christo Popov,Toma Junior Popov,0,20,22,21,17,21,13,62,52,2,1,5,2,6,2,2,0,1
378,Yonex_All_England_Open,2022-03-16,England,MD,6,0,65,Japan,Malaysia,Takuro Hoki,Yugo Kobayashi,3,Man Wei Chong,Kai Wun Tee,0,21,17,18,21,23,21,62,59,2,1,8,2,5,5,1,0,1
379,Petronas_Malaysia_Open,2023-01-12,Malaysia,MD,4,0,37,Denmark,Indonesia,Kim Astrup,Anders Skaarup Rasmussen,6,Leo Rolly Carnando,Daniel Marthin,0,21,13,21,9,0,0,42,22,2,0,2,0,7,3,5,4,1
380,Yonex_All_England_Open,2023-03-17,England,MD,6,0,69,China,Japan,He Ji Ting,Zhou Hao Dong,0,Takuro Hoki,Yugo Kobayashi,4,17,21,21,18,21,15,59,54,2,1,3,3,4,6,2,0,1
